title,id,activity,creation,status
please sync cgi.parse document,24626,2015-07-16.02:45:11,2015-07-13.03:19:08,1
Stream encoder for zlib_codec doesn't use the incremental encoder,13881,2015-07-16.02:08:14,2012-01-26.19:40:48,1
"skipitem() in getargs.c still supports 'w' and 'w#', and shouldn't",23926,2015-07-15.22:26:53,2015-04-13.02:44:00,1
Asyncio reuseport,23972,2015-07-15.22:01:25,2015-04-16.11:52:15,1
no ensurepip in embedded Windows distribution,24640,2015-07-15.21:58:47,2015-07-15.20:36:31,1
SSL session management,8106,2015-07-15.20:02:14,2010-03-10.01:20:51,1
unittest.__init__:main shadows unittest.main,22858,2015-07-15.17:55:51,2014-11-13.10:23:24,1
"asyncio ""loop argument must agree with future"" error message could be improved",24638,2015-07-15.13:41:12,2015-07-15.13:39:50,1
"asyncio.Queue.put_nowait(), followed get() task cancellation leads to item being lost",23812,2015-07-15.13:31:52,2015-03-30.13:59:52,1
locals dictionary in PyRun_String,24637,2015-07-15.13:23:06,2015-07-15.13:23:06,1
msvcrt error when embedded,24429,2015-07-15.05:06:25,2015-06-11.10:59:30,1
Importing uuid should not try to load libc on Windows,24634,2015-07-15.03:17:34,2015-07-14.20:24:04,1
mock_open() should allow reading binary data,23004,2015-07-15.01:14:07,2014-12-07.15:24:17,1
"README file installed into site-packages conflicts with package named ""readme""",24633,2015-07-14.16:45:40,2015-07-14.08:07:26,1
StreamReaderProtocol.eof_received() should return True to keep the transport open,24539,2015-07-14.11:10:47,2015-06-30.12:54:46,1
fnmatch.py can appear in tracemalloc diffs,21952,2015-07-14.08:21:58,2014-07-10.19:36:07,1
IDLE Autocomplete and Call Tips Do Not Pop Up on OS X with ActiveTcl 8.5.18,24570,2015-07-14.03:50:27,2015-07-05.20:48:27,1
unittest API for detecting test failure in cleanup/teardown,24249,2015-07-13.23:31:45,2015-05-20.21:01:55,1
document PEP 448: unpacking generalization,24136,2015-07-13.20:59:54,2015-05-06.13:18:47,1
improve test coverage for subinterpreters,24553,2015-07-13.17:12:41,2015-07-03.00:30:03,1
tokenize.py: missing EXACT_TOKEN_TYPES,24622,2015-07-13.17:11:48,2015-07-12.19:29:37,1
Documents input/output effects of how IDLE runs user code,23220,2015-07-12.21:27:52,2015-01-11.00:54:47,1
SSL match_hostname does not accept IP Address,23239,2015-07-12.20:39:00,2015-01-14.09:04:52,1
rlcompleter: tab on empty prefix => insert spaces,23441,2015-07-12.20:36:58,2015-02-11.10:21:44,1
Parser: broken line numbers for triple-quoted strings,24623,2015-07-12.19:42:12,2015-07-12.19:41:18,1
os.makedirs()'s [mode] not correct,24617,2015-07-12.18:24:06,2015-07-12.17:13:43,1
Invalid read in PyCode_New,24618,2015-07-12.18:17:08,2015-07-12.17:46:46,1
'make install' fails installation of man pages for Python 2.7.10 on Unixware 7.1.4,24616,2015-07-12.16:16:05,2015-07-12.11:45:15,1
mimetypes.guess_extension result changes after mimetypes.init(),4963,2015-07-12.13:22:10,2009-01-16.12:04:54,1
not operator expression raising a syntax error,24612,2015-07-12.00:23:44,2015-07-11.15:23:53,1
InteractiveInterpreter always prints to stdout,24595,2015-07-11.08:16:25,2015-07-09.13:00:12,1
shutil.copytree() handles symbolic directory incorrectly,21697,2015-07-10.21:44:01,2014-06-09.13:19:19,1
str.splitlines splitting on non-\r\n characters,22232,2015-07-10.17:11:24,2014-08-20.10:01:51,1
http.client splits headers on non-\r\n characters,22233,2015-07-10.16:59:23,2014-08-20.10:02:33,1
urllib URLopener().open  https url returns 501 Not Implemented when https_proxy env var is http://,24599,2015-07-10.13:30:13,2015-07-09.18:14:15,1
Allow ssl certificates to be specified from memory rather than files.,16487,2015-07-10.10:41:22,2012-11-16.15:10:15,1
"codecs.open interprets FS, RS, GS as line ends",18291,2015-07-10.08:05:19,2013-06-24.13:11:12,1
asyncio: add background task detecting reference cycles,24598,2015-07-10.06:35:56,2015-07-09.14:04:05,1
Script globals in a GC cycle not finalized when exiting with SystemExit,24596,2015-07-09.14:10:29,2015-07-09.13:31:32,1
ArgumentParser behavior does not match generated help,24166,2015-07-09.10:48:00,2015-05-11.14:15:33,1
msilib.OpenDatabase Type Confusion,24594,2015-07-09.07:43:01,2015-07-08.23:26:41,1
Windows installer does not detect existing installs,24585,2015-07-09.03:31:18,2015-07-07.16:18:36,1
test_urandom_fd_reopened failure if OS X crash reporter default set to Developer,24157,2015-07-08.23:17:49,2015-05-10.14:10:25,1
